id,title,link,year,duration,rating_mpa,rating_imdb,vote,budget,gross_world_wide,gross_us_canada,gross_opening_weekend,director,writer,star,genre,country_origin,filming_location,production_company,language,win,nomination,oscar
tt0084750,Sword of the Valiant,https://www.imdb.com/title/tt0084750,1984,1h 42m,PG,4.4,26000,,,,,Stephen Weeks,"Stephen Weeks, Howard C Pen, Philip M Breen","Miles OKeeffe, Cyrielle Clair, Leigh Lawson","Swashbuckler, Sword  Sorcery, Action, Adventure, Fantasy, Romance",United Kingdom,Ireland,"GolanGlobus Productions, Stephen Weeks Company",English,0,0,0
tt0438321,Hell Behind the Bars,https://www.imdb.com/title/tt0438321,1984,1h 22m,,3.8,417,,,,,Gianni Siragusa,Sergio Garrone,"Ajita Wilson, Rita Silva, Linda Jones","Action, Crime, Drama, Thriller",Italy,"Incir De Paolis Studios, Rome, Lazio, Italy",SNPC  Societ Nazionale Produzioni Cinematografiche,"English, Italian",0,0,0
tt0086176,Rats: Night of Terror,https://www.imdb.com/title/tt0086176,1984,1h 37m,Unrated,4.7,33000,,,,,"Bruno Mattei, Claudio Fragasso","Rossella Drudi, Claudio Fragasso, Bruno Mattei","Ottaviano DellAcqua, Geretta Geretta, Massimo Vanni","BHorror, Horror, SciFi","Italy, France","Incir De Paolis Studios, Rome, Lazio, Italy",Beatrice Film,Italian,0,0,0
tt0087698,Maybe It's Love,https://www.imdb.com/title/tt0087698,1984,1h 30m,,5.5,73,,,,,Angela Chan,PikWah Lee,"Cherie Chung, Kent Tong, ChunHao Chen","Drama, Mystery",Hong Kong,,Shaw Brothers,Cantonese,0,0,0
tt0226011,Japanese Woman,https://www.imdb.com/title/tt0226011,1984,53m,,,,,,,,Kalle Lasn,Kalle Lasn,"Joy Coghill, Stan Peters",Documentary,Canada,,Psychomedia Productions,English,0,0,0
tt0438833,Elite Devassa,https://www.imdb.com/title/tt0438833,1984,1h 30m,,5,58,,,,,Luiz Castellini,"Adelaide Carraro, Luiz Castellini, Aurora Duarte","Selma Egrei, Edson Frana, Thales Pan Chacon",Drama,Brazil,,"Cinearte Filmes, Luce Filmes",Portuguese,0,0,0
tt9680136,Pati Patni Aur Woh,https://www.imdb.com/title/tt9680136,2019,2h 6m,,5.8,87000,,6712525,874044,432145,Mudassar Aziz,"Mudassar Aziz, BR Chopra, Ravi Kumar","Kartik Aaryan, Bhumi Pednekar, Ananya Panday","Comedy, Romance",India,"Lucknow, Uttar Pradesh","TSeries Films, TSeries",Hindi,0,4,0
tt6105774,The Reliant,https://www.imdb.com/title/tt6105774,2019,2h 20m,PG-13,3.3,18000,,408747,408747,,Paul Munger,JP Johnston,"Kevin Sorbo, Julia Denton, Mollee Gray",Action,United States,"Ohio, USA",Fervent House Media,English,0,2,0
tt1833116,The Informer,https://www.imdb.com/title/tt1833116,2019,1h 53m,R,6.6,44000,60000000,2927708,300460,133475,Andrea Di Stefano,"Matt Cook, Rowan Joffe, Andrea Di Stefano","Joel Kinnaman, Rosamund Pike, Common","Police Procedural, Prison Drama, Spy, Action, Crime, Drama, Thriller","United Kingdom, Canada, United States","London, England, UK","The Fyzz, Thunder Road Pictures, Ingenious","English, Polish, Spanish",0,0,0
tt10579992,Mister America,https://www.imdb.com/title/tt10579992,2019,1h 29m,R,6.4,17000,,130897,130897,10090,Eric Notarnicola,"Tim Heidecker, Eric Notarnicola, Gregg Turkington","Tim Heidecker, Gregg Turkington, Terri Parks",Comedy,United States,"San Bernardino County, California, USA","Abso Lutely, Magnolia Pictures, Williams Street",English,0,0,0
tt6954136,Intuitions,https://www.imdb.com/title/tt6954136,2019,1h 30m,,3.7,285,500000,10606,10606,3407,James Helsing,"Tyler Frech, James Helsing, Ren Mena","Ren Mena, Mike Manning, Vannessa Vasquez","Romance, Thriller",United States,,Latinx Productions,"English, Spanish",0,6,0
tt0378194,Kill Bill: Vol. 2,https://www.imdb.com/title/tt0378194,2004,2h 17m,R,8,827000,30000000,154118514,66208183,25600000,Quentin Tarantino,"Quentin Tarantino, Uma Thurman","Uma Thurman, David Carradine, Michael Madsen","Kung Fu, Martial Arts, OnePerson Army Action, Action, Crime, Thriller",United States,"Beijing, China","Miramax, A Band Apart, Super Cool ManChu","English, Cantonese, Mandarin, Spanish",0,84,0
tt0373074,Kung Fu Hustle,https://www.imdb.com/title/tt0373074,2004,1h 39m,R,7.7,155000,20000000,104882445,17108591,269225,Stephen Chow,"Stephen Chow, KanCheung Tsang, Xin Huo","Stephen Chow, Wah Yuen, Qiu Yuen","Kung Fu, Martial Arts, Parody, Slapstick, Wuxia, Action, Comedy, Fantasy","Hong Kong, China, United States","Shanghai, China","Columbia Pictures Film Production Asia, Huayi Brothers Media, Taihe Film Investment Co Ltd","Mandarin, Cantonese",0,47,1
tt0326856,Envy,https://www.imdb.com/title/tt0326856,2004,1h 39m,PG-13,4.8,33000,40000000,14494036,13562325,6160886,Barry Levinson,Steve Adams,"Ben Stiller, Jack Black, Rachel Weisz","Buddy Comedy, Dark Comedy, Comedy",United States,"Rio de Janeiro, Rio de Janeiro, Brazil","Dreamworks Pictures, Columbia Pictures, Castle Rock Entertainment","English, Italian",0,0,0
tt0374277,Touch of Pink,https://www.imdb.com/title/tt0374277,2004,1h 31m,R,6.4,45000,,581055,564535,79883,Ian Iqbal Rashid,"Ian Iqbal Rashid, Ken Chubb","Jimi Mistry, Kris HoldenRied, Suleka Mathew","Comedy, Drama, Romance","United Kingdom, Canada","Toronto, Ontario, Canada","Martin Pope Productions, Sienna Films",English,0,0,0
tt0344273,Kings & Queen,https://www.imdb.com/title/tt0344273,2004,2h 30m,Unrated,7,41000,3871153,3839556,290973,16101,Arnaud Desplechin,"Arnaud Desplechin, Roger Bohbot","Emmanuelle Devos, Geoffrey Carey, Thierry Bosc","Comedy, Drama, Romance",France,"Grenoble, Isre, France","Why Not Productions, France 2 Cinma, RhneAlpes Cinma","French, English, German",0,18,0
tt0359254,Rolling Family,https://www.imdb.com/title/tt0359254,2004,1h 43m,Not Rated,6.6,14000,,116512,9291,849,Pablo Trapero,Pablo Trapero,"Graciana Chironi, Adelina Bielopolsky, Ludmila Stancer","Comedy, Drama","Argentina, Brazil, France, Germany, Spain, United Kingdom","Buenos Aires, Federal District, Argentina","Lumina Films SL, Paradis Films, Pandora Filmproduktion",Spanish,0,5,0
tt0397477,The Ister,https://www.imdb.com/title/tt0397477,2004,3h 9m,Not Rated,7.1,231,,1124,1124,1124,"David Barison, Daniel Ross","David Barison, Daniel Ross","Philippe LacoueLabarthe, JeanLuc Nancy, Bernard Stiegler",Documentary,Australia,Croatia,Black Box Sound and Image,"French, German, Romanian, English",0,0,0
tt0366701,Producing Adults,https://www.imdb.com/title/tt0366701,2004,1h 42m,,6.1,13000,1200000,474752,935,459,Aleksi Salmenper,"Tuomo Hutri, Pekko Pesonen, Aleksi Salmenper","Minna Haapkyl, KariPekka Toivonen, Minttu Mustakallio","Comedy, Drama","Finland, Sweden","Helsinki, Finland","Blind Spot Pictures, Sonet Film, Film i Vst",Finnish,0,9,0
tt0378215,King's Game,https://www.imdb.com/title/tt0378215,2004,1h 47m,Not Rated,7.3,49000,,35436,,,Nikolaj Arcel,"Nikolaj Arcel, Rasmus Heisterberg, Niels KrauseKjr","Anders W Berthelsen, Sren Pilmark, Nastja Arcel","Political Thriller, Drama, Thriller","Denmark, Sweden","Restaurant Slotsklderen hos Gitte Kik, Fortunstrde, Copenhagen, Denmark","Nimbus Film, Det Danske Filminstitut, Nordisk Film  TVFond",Danish,0,7,0
tt0056208,Madame,https://www.imdb.com/title/tt0056208,1961,1h 38m,,6,473,6000000,,,,ChristianJaque,"Victorien Sardou, mile Moreau, Jean Ferry","Sophia Loren, Robert Hossein, Renaud Mary","Comedy, Drama, Romance, War","France, Italy, Spain","Cosmopolitan Films, Tirrenia, Tuscany, Italy","CinAlliance, GESI Cinematografica, Compagnia Cinematografica Champion","French, Italian",0,0,0
